batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.0440012626349926,0.02983209863305092,0.0008612936362624168,0.025065332651138306,0.022446954622864723,0.019738519564270973,0.8793402910232544
2,0.054713182151317596,0.05986710637807846,0.00023459507792722434,0.012559580616652966,0.01369722280651331,0.014892108738422394,1.0872348546981812
3,0.06715042144060135,0.05326421558856964,0.0024580468889325857,0.03999143838882446,0.024213936179876328,0.01856056973338127,0.7665239572525024
4,0.05918077379465103,0.031283777207136154,0.009498718194663525,0.09123438596725464,0.015725964680314064,0.013433482497930527,0.8542225956916809
5,0.04186980053782463,0.037476107478141785,0.00013296629185788333,0.009570285677909851,0.02289198338985443,0.02072528563439846,0.9053508639335632
6,0.029494084417819977,0.02233695611357689,0.0008322707726620138,0.025842132046818733,0.013873929157853127,0.01197089534252882,0.8628332018852234
7,0.04958278313279152,0.028090672567486763,0.03162994608283043,0.17270904779434204,0.02284618653357029,0.01936602033674717,0.8476693630218506
8,0.05353143438696861,0.05348731577396393,0.00024114397820085287,0.01323920488357544,0.02117082290351391,0.018878506496548653,0.8917224407196045
9,0.024665433913469315,0.020903732627630234,0.0008715212461538613,0.026300417259335518,0.016681430861353874,0.012586782686412334,0.7545381188392639
10,0.0253586545586586,0.030121082440018654,0.0005425023264251649,0.0206985492259264,0.011014067567884922,0.010617149993777275,0.9639617800712585
