batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.02300412580370903,0.04985709860920906,0.01058186125010252,0.08999534696340561,0.009528507478535175,0.04307650402188301,4.520798206329346
2,0.021054424345493317,0.04199593886733055,0.009069600142538548,0.0883239284157753,0.012938089668750763,0.03532280772924423,2.7301387786865234
3,0.02287294901907444,0.03971017897129059,0.003251324174925685,0.04522523283958435,0.0076502845622599125,0.03368687257170677,4.403343200683594
4,0.03096587024629116,0.04624120518565178,0.03721379116177559,0.18280400335788727,0.021242810413241386,0.04176637530326843,1.966140866279602
5,0.034465108066797256,0.06559863686561584,0.033194851130247116,0.17124438285827637,0.016386959701776505,0.06235269457101822,3.8050169944763184
6,0.02742006443440914,0.046676985919475555,0.002220279537141323,0.03685997799038887,0.007447418756783009,0.04512637481093407,6.059322834014893
7,0.016899462789297104,0.042170390486717224,0.01998238079249859,0.13522762060165405,0.007552131544798613,0.042208410799503326,5.588932991027832
8,0.020569613203406334,0.05523990839719772,0.011205606162548065,0.09394583851099014,0.010065138339996338,0.06180992349982262,6.140984535217285
9,0.07812990248203278,0.097590371966362,0.0037896318826824427,0.05179929360747337,0.02084360644221306,0.050301481038331985,2.4132800102233887
10,0.033549122512340546,0.03196315839886665,0.006682420615106821,0.07045536488294601,0.014940671622753143,0.03354725241661072,2.2453627586364746
