batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.03681017830967903,0.032333433628082275,0.004164059180766344,0.056329917162656784,0.006609753239899874,0.025997571647167206,3.9332077503204346
2,0.07864764332771301,0.032074447721242905,0.017985904589295387,0.11829326301813126,0.025352654978632927,0.033862579613924026,1.33566153049469
3,0.021844500675797462,0.03833027184009552,0.0021994472481310368,0.032439038157463074,0.014934109523892403,0.035816680639982224,2.3983120918273926
4,0.07492931187152863,0.08283565193414688,0.010535108856856823,0.09142763167619705,0.025889266282320023,0.037919674068689346,1.4646865129470825
5,0.015929747372865677,0.030180756002664566,0.004663319792598486,0.06271269172430038,0.011079513467848301,0.015901342034339905,1.435200810432434
6,0.024660984054207802,0.034792110323905945,0.006330045405775309,0.0733453556895256,0.014639589935541153,0.030216097831726074,2.063997507095337
7,0.12726625800132751,0.10157594084739685,0.0033200110774487257,0.044839341193437576,0.03095455840229988,0.0376790352165699,1.2172366380691528
8,0.03714878112077713,0.03824764862656593,0.0063505698926746845,0.06992235034704208,0.013533622957766056,0.03673513978719711,2.7143590450286865
9,0.02658756449818611,0.024266546592116356,0.0016293738735839725,0.03325006738305092,0.00928636733442545,0.028009852394461632,3.0162301063537598
10,0.05846628174185753,0.03194626420736313,0.004487982485443354,0.058756496757268906,0.0198881383985281,0.034730855375528336,1.7463091611862183
