,Step,Loss,Type
0,0,1.107564926147461,Train
1,10,1.1795079708099365,Train
2,20,1.0898324251174927,Train
3,30,0.9954806566238403,Train
4,40,0.7065480947494507,Train
5,50,0.7252547740936279,Train
6,60,1.1581203937530518,Train
7,70,0.7639821767807007,Train
8,80,0.7272342443466187,Train
9,90,1.6184451580047607,Train
10,100,1.3471264839172363,Train
11,110,1.236137866973877,Train
12,120,0.8478230834007263,Train
13,130,0.8688236474990845,Train
14,140,0.8366462588310242,Train
15,150,0.9024733901023865,Train
16,160,1.1094050407409668,Train
17,170,0.7717041969299316,Train
18,180,0.9179417490959167,Train
19,190,1.1091749668121338,Train
20,200,0.6789137721061707,Train
21,210,1.1806995868682861,Train
22,220,0.7373713254928589,Train
23,230,1.1598594188690186,Train
24,240,0.9043793678283691,Train
25,250,0.8944403529167175,Train
26,260,1.287116527557373,Train
27,270,0.7419222593307495,Train
28,280,0.7595293521881104,Train
29,290,0.7874791026115417,Train
30,300,0.7997133135795593,Train
31,310,0.5768522620201111,Train
32,320,0.5595776438713074,Train
33,330,0.8271163702011108,Train
34,340,0.5196510553359985,Train
35,350,0.48287519812583923,Train
36,360,0.5407199263572693,Train
37,370,0.6000398993492126,Train
38,380,0.3879691958427429,Train
39,390,0.4042627215385437,Train
40,400,0.46192488074302673,Train
41,410,0.43749043345451355,Train
42,420,0.26853930950164795,Train
43,430,0.375110387802124,Train
44,440,0.38513487577438354,Train
45,450,0.32594653964042664,Train
46,460,0.3505431115627289,Train
47,470,0.24512198567390442,Train
48,480,0.40074270963668823,Train
49,490,0.24617139995098114,Train
50,500,0.23887652158737183,Train
51,510,0.36787423491477966,Train
52,520,0.1398356556892395,Train
53,530,0.14524288475513458,Train
54,540,0.3256217837333679,Train
55,550,0.18833240866661072,Train
56,560,0.29772600531578064,Train
57,570,0.3079650402069092,Train
58,580,0.2010776698589325,Train
59,590,0.048875778913497925,Train
60,600,0.1441265195608139,Train
61,610,0.22838231921195984,Train
62,620,0.17014305293560028,Train
63,630,0.17651671171188354,Train
64,640,0.09477733075618744,Train
65,650,0.19745402038097382,Train
66,660,0.1616096943616867,Train
67,670,0.037771422415971756,Train
68,680,0.06774552166461945,Train
69,690,0.05557358264923096,Train
70,700,0.1432807743549347,Train
71,710,0.13428807258605957,Train
72,720,0.11297272890806198,Train
73,730,0.15651100873947144,Train
74,740,0.033928729593753815,Train
75,750,0.08062852174043655,Train
76,760,0.13363251090049744,Train
77,770,0.10450928658246994,Train
78,780,0.12849465012550354,Train
79,790,0.08759182691574097,Train
80,800,0.14402532577514648,Train
81,810,0.10532233119010925,Train
82,820,0.09211915731430054,Train
83,830,0.07036048173904419,Train
84,840,0.06000958010554314,Train
85,850,0.10873638093471527,Train
86,860,0.06485533714294434,Train
87,870,0.13208642601966858,Train
88,880,0.03045128658413887,Train
89,890,0.07254746556282043,Train
90,900,0.07255387306213379,Train
91,910,0.023314587771892548,Train
92,920,0.07122866809368134,Train
93,930,0.037220343947410583,Train
94,940,0.07140571624040604,Train
95,950,0.013386663049459457,Train
96,960,0.06695881485939026,Train
97,970,0.061359863728284836,Train
98,980,0.10760628432035446,Train
99,990,0.03456785902380943,Train
100,1000,0.04903680086135864,Train
101,1010,0.03278347849845886,Train
102,1020,0.07502187788486481,Train
103,1030,0.03733653575181961,Train
104,1040,0.0305459164083004,Train
105,1050,0.029616599902510643,Train
106,1060,0.07650119066238403,Train
107,1070,0.05239535868167877,Train
108,1080,0.019058968871831894,Train
109,1090,0.018338695168495178,Train
110,1100,0.04260865971446037,Train
111,1110,0.014734107069671154,Train
112,1120,0.009310660883784294,Train
113,1130,0.03212454542517662,Train
114,1140,0.012812741100788116,Train
115,1150,0.030900469049811363,Train
116,1160,0.012487548403441906,Train
117,1170,0.08289587497711182,Train
118,1180,0.033683836460113525,Train
119,1190,0.021482452750205994,Train
120,1200,0.04743116721510887,Train
121,1210,0.04178176820278168,Train
122,1220,0.03992163762450218,Train
123,1230,0.035744573920965195,Train
124,1240,0.010488933883607388,Train
125,1250,0.00846585538238287,Train
126,1260,0.021393416449427605,Train
127,1270,0.006975344382226467,Train
128,1280,0.029087988659739494,Train
129,1290,0.017935778945684433,Train
130,1300,0.014026550576090813,Train
131,1310,0.013264394365251064,Train
132,1320,0.03224966302514076,Train
133,1330,0.019658101722598076,Train
134,1340,0.016983699053525925,Train
135,1350,0.009858386591076851,Train
136,1360,0.04845273122191429,Train
137,1370,0.016201354563236237,Train
138,1380,0.0216778963804245,Train
139,1390,0.016113540157675743,Train
140,1400,0.023784831166267395,Train
141,1410,0.018829630687832832,Train
142,1420,0.00634573120623827,Train
143,1430,0.017865529283881187,Train
144,1440,0.019816705957055092,Train
145,1450,0.020498402416706085,Train
146,1460,0.026693424209952354,Train
147,1470,0.02640398219227791,Train
148,1480,0.01646358147263527,Train
149,1490,0.033410657197237015,Train
150,1500,0.024630872532725334,Train
151,1510,0.01652376353740692,Train
152,1520,0.025704041123390198,Train
153,1530,0.019945546984672546,Train
154,1540,0.032050129026174545,Train
155,1550,0.022979509085416794,Train
156,1560,0.008522864431142807,Train
157,1570,0.024759367108345032,Train
158,1580,0.013455348089337349,Train
159,1590,0.0315600223839283,Train
160,1600,0.018397131934762,Train
161,1610,0.007010594010353088,Train
162,1620,0.02086835354566574,Train
163,1630,0.0277938824146986,Train
164,1640,0.006496920250356197,Train
165,1650,0.03339119255542755,Train
166,1660,0.020438820123672485,Train
167,1670,0.008974146097898483,Train
168,1680,0.012617582455277443,Train
169,1690,0.016527041792869568,Train
170,1700,0.009662959724664688,Train
171,1710,0.009010635316371918,Train
172,1720,0.01606852374970913,Train
173,1730,0.012671882286667824,Train
174,1740,0.023996366187930107,Train
175,1750,0.03598840907216072,Train
176,1760,0.024869240820407867,Train
177,1770,0.016888033598661423,Train
178,1780,0.013477499596774578,Train
179,1790,0.016669293865561485,Train
180,1800,0.01854616589844227,Train
181,1810,0.007659939583390951,Train
182,1820,0.00881290901452303,Train
183,1830,0.01601519249379635,Train
184,1840,0.012258993461728096,Train
185,1850,0.01629885658621788,Train
186,1860,0.014504208229482174,Train
187,1870,0.008087588474154472,Train
188,1880,0.010840184986591339,Train
189,1890,0.01640843041241169,Train
190,1900,0.016859687864780426,Train
191,1910,0.011277182027697563,Train
192,1920,0.015470994636416435,Train
193,1930,0.010646323673427105,Train
194,1940,0.012307348661124706,Train
195,1950,0.014897732995450497,Train
196,1960,0.0038682566955685616,Train
197,1970,0.01659829542040825,Train
198,1980,0.00547610130161047,Train
199,1990,0.00472981994971633,Train
200,2000,0.0063845012336969376,Train
201,2010,0.00798559095710516,Train
202,2020,0.010005523450672626,Train
203,2030,0.013444533571600914,Train
204,2040,0.009786415845155716,Train
205,2050,0.0071086823008954525,Train
206,2060,0.00662268465384841,Train
207,2070,0.01191870030015707,Train
208,2080,0.0167778879404068,Train
209,2090,0.020549777895212173,Train
210,2100,0.04461962729692459,Train
211,2110,0.003322923555970192,Train
212,2120,0.007952308282256126,Train
213,2130,0.01976001262664795,Train
214,2140,0.009164448827505112,Train
215,2150,0.006974164396524429,Train
216,2160,0.006448558531701565,Train
217,2170,0.007854280062019825,Train
218,2180,0.007884400896728039,Train
219,2190,0.007593117654323578,Train
220,2200,0.012989357113838196,Train
221,2210,0.0071870991960167885,Train
222,2220,0.00923151895403862,Train
223,2230,0.007310267072170973,Train
224,2240,0.006979502737522125,Train
225,2250,0.016831111162900925,Train
226,2260,0.007576752454042435,Train
227,2270,0.01310952752828598,Train
228,2280,0.009524970315396786,Train
229,2290,0.007955918088555336,Train
230,2300,0.018975218757987022,Train
231,2310,0.004713460337370634,Train
232,2320,0.007602197118103504,Train
233,2330,0.0075504593551158905,Train
234,2340,0.015720132738351822,Train
235,2350,0.0037734205834567547,Train
236,2360,0.011043365113437176,Train
237,2370,0.00698710884898901,Train
238,2380,0.007900658994913101,Train
239,2390,0.008283103816211224,Train
240,2400,0.02950768731534481,Train
241,2410,0.007352080196142197,Train
242,2420,0.006996907293796539,Train
243,2430,0.02688509225845337,Train
244,2440,0.0059898230247199535,Train
245,2450,0.011597195640206337,Train
246,2460,0.005763488821685314,Train
247,2470,0.023682277649641037,Train
248,2480,0.006867904216051102,Train
249,2490,0.007411566562950611,Train
250,2500,0.011354871094226837,Train
251,2510,0.007734352722764015,Train
252,2520,0.006475574336946011,Train
253,2530,0.009090523235499859,Train
254,2540,0.0106431245803833,Train
255,2550,0.008763403631746769,Train
256,2560,0.008350769057869911,Train
257,2570,0.010269357822835445,Train
258,2580,0.010351254604756832,Train
259,2590,0.0067850276827812195,Train
260,2600,0.019205456599593163,Train
261,2610,0.0034591550938785076,Train
262,2620,0.004067121539264917,Train
263,2630,0.004673703573644161,Train
264,2640,0.016044406220316887,Train
265,2650,0.007781278342008591,Train
266,2660,0.006849988363683224,Train
267,2670,0.007668419741094112,Train
268,2680,0.0051871794275939465,Train
269,2690,0.008125760592520237,Train
270,2700,0.007009599357843399,Train
271,2710,0.012515418231487274,Train
272,2720,0.004743682220578194,Train
273,2730,0.009845600463449955,Train
274,2740,0.006649713031947613,Train
275,2750,0.003980633337050676,Train
276,2760,0.016816340386867523,Train
277,2770,0.008133264258503914,Train
278,2780,0.00745686050504446,Train
279,2790,0.007203931920230389,Train
280,2800,0.006849206984043121,Train
