batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.03955536708235741,0.043327298015356064,0.0005179883446544409,0.019105153158307076,0.0131605863571167,0.012997630052268505,0.9876170754432678,13,0.9,-21,1.0,0.6521739130434783,0.7306184733060291
2,0.03471224009990692,0.010142187587916851,0.006234948989003897,0.07325290888547897,0.01803610660135746,0.01010976918041706,0.5605291724205017,20,1.0,20,0.9718174773878855,0.782608695652174,0.7995469569978164
3,0.011898617260158062,0.023445667698979378,0.0005102177965454757,0.018562255427241325,0.011825558729469776,0.01275736652314663,1.0787951946258545,-21,1.0,-21,1.0,0.6521739130434783,0.6036224318423385
4,0.03406134992837906,0.03128846734762192,0.006931240204721689,0.0825960710644722,0.015542719513177872,0.016978109255433083,1.0923504829406738,-22,1.0,0,0.8607131534038064,0.8695652173913043,0.8607131534038064
5,0.038050536066293716,0.018513545393943787,0.004499742761254311,0.06185666099190712,0.01818007044494152,0.014382165856659412,0.7910947799682617,6,0.8235294117647058,-21,1.0,0.782608695652174,0.8928517230409508
6,0.026783816516399384,0.02926580421626568,0.0037259075324982405,0.057233501225709915,0.01237528957426548,0.006039769854396582,0.4880503714084625,-20,1.0,-21,1.0,0.6521739130434783,0.5761323739504975
7,0.021070221439003944,0.012446749024093151,0.00044657476246356964,0.01692025177180767,0.007787725422531366,0.007310742978006601,0.9387508630752563,21,1.0,21,1.0,0.7391304347826086,0.5891992210164547
8,0.045775819569826126,0.05119853839278221,0.008173166774213314,0.08885210752487183,0.0159223023802042,0.013604910112917423,0.8544557094573975,-21,1.0,-21,1.0,0.782608695652174,0.8561668012909116
9,0.03558337315917015,0.012978509068489075,0.001095871441066265,0.027905089780688286,0.006753727328032255,0.00599954416975379,0.8883295655250549,18,0.8,-21,1.0,0.4782608695652174,0.1821129837067253
10,0.0841897577047348,0.13372012972831726,0.014427128247916698,0.10279645770788193,0.06501113623380661,0.058142732828855515,0.8943502306938171,-22,1.0,0,0.9008117387806379,0.782608695652174,0.9008117387806379
