batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.01510255690664053,0.03947461023926735,0.03996847942471504,0.1952604502439499,0.008932976983487606,0.026156794279813766,2.928112745285034
2,0.04553605243563652,0.049604736268520355,0.012121044099330902,0.09625520557165146,0.013828114606440067,0.02803848311305046,2.027641773223877
3,0.012269427999854088,0.05187550187110901,0.033530786633491516,0.17764605581760406,0.008998414501547813,0.029204852879047394,3.245551824569702
4,0.03299601003527641,0.03755807504057884,0.04708416387438774,0.21364504098892212,0.014397471211850643,0.02680036798119545,1.8614622354507446
5,0.027317767962813377,0.021054401993751526,0.03934144973754883,0.19680048525333405,0.013134422712028027,0.016467208042740822,1.2537434101104736
6,0.043859731405973434,0.06015034765005112,0.046043116599321365,0.21012885868549347,0.013278395868837833,0.02916606143116951,2.196503162384033
7,0.011400468647480011,0.048410095274448395,0.025236183777451515,0.15177486836910248,0.007349247578531504,0.029368147253990173,3.996070146560669
8,0.026517285034060478,0.03966645151376724,0.04586758092045784,0.2115371972322464,0.012741757556796074,0.018190927803516388,1.4276611804962158
9,0.060764286667108536,0.06645651906728745,0.005851189140230417,0.0667751356959343,0.017335863783955574,0.031470492482185364,1.8153393268585205
10,0.01920267753303051,0.03593555837869644,0.039412591606378555,0.1928877830505371,0.008900254033505917,0.02598894201219082,2.9200191497802734
