batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.02316730096936226,0.05355871468782425,0.07612624764442444,0.2676471173763275,0.013887014240026474,0.03168667480349541,2.2817468643188477
2,0.034864846616983414,0.06894194334745407,0.016554785892367363,0.11879643052816391,0.01060832105576992,0.03230558708310127,3.0453033447265625
3,0.06608067452907562,0.02216733805835247,0.015375765971839428,0.11216983199119568,0.026687663048505783,0.00810658372938633,0.30375760793685913
4,0.026399200782179832,0.04709794372320175,0.011274888180196285,0.09446079283952713,0.012525802478194237,0.027977632358670235,2.233598232269287
5,0.029146699234843254,0.07092666625976562,0.03623207286000252,0.17746178805828094,0.01924680545926094,0.0370229072868824,1.9235862493515015
6,0.0381590761244297,0.051916275173425674,0.08933218568563461,0.28866252303123474,0.01024184562265873,0.03126700967550278,3.052865505218506
7,0.038066014647483826,0.04583626240491867,0.011944271624088287,0.0851726159453392,0.010202579200267792,0.0268415417522192,2.6308557987213135
8,0.11932431161403656,0.053516488522291183,0.05289353430271149,0.1957823485136032,0.028991270810365677,0.03409216180443764,1.1759454011917114
9,0.04558234289288521,0.0563964806497097,0.05943211913108826,0.2406105250120163,0.019502030685544014,0.03010611981153488,1.543742060661316
10,0.060580775141716,0.041839081794023514,0.007554478943347931,0.07498596608638763,0.02206084504723549,0.02669668197631836,1.210138201713562
