batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.015642063692212105,0.010528488084673882,0.022047733888030052,0.1480981558561325,0.009849180467426777,0.007684116717427969,0.7801774740219116,21,1.0,-21,1.0,0.6956521739130435,0.7326923768050748
2,0.02529751881957054,0.017745517194271088,0.015935314819216728,0.12114622443914413,0.010438167490065098,0.011792696081101894,1.1297657489776611,-22,1.0,-19,0.8537053365212519,0.782608695652174,0.5861298793949199
3,0.0325547493994236,0.034452881664037704,0.007129620760679245,0.08362594246864319,0.010137133300304413,0.009512418881058693,0.9383727312088013,-22,1.0,-20,0.9829639099094535,0.6521739130434783,0.5955482681449924
4,0.02107207104563713,0.01834026165306568,0.03660575672984123,0.19049014151096344,0.013703770935535431,0.007979657500982285,0.5822960138320923,-19,1.0,20,0.8508607990130631,0.5652173913043478,0.6549806970643233
5,0.07598824799060822,0.06512891501188278,0.028168680146336555,0.16599293053150177,0.04190317541360855,0.02795746549963951,0.6671918630599976,-22,1.0,-21,0.9999999999999999,0.8695652173913043,0.8656141205909448
6,0.027263201773166656,0.03915773332118988,0.014409895986318588,0.11894973367452621,0.010405451990664005,0.01173186581581831,1.1274718046188354,-21,1.0,-21,1.0,0.7391304347826086,0.6719127176767541
7,0.01976785808801651,0.019861800596117973,0.0005516157834790647,0.019909949973225594,0.014711595140397549,0.011413517408072948,0.7758172750473022,0,0.8260869565217391,21,1.0,0.8260869565217391,0.8087957172082716
8,0.027527235448360443,0.020256230607628822,0.02143600396811962,0.14517788589000702,0.012617422267794609,0.01262937393039465,1.0009464025497437,-20,1.0,-21,1.0,0.8695652173913043,0.8169222021025232
9,0.04611015319824219,0.03427445888519287,0.01229587197303772,0.10956188291311264,0.018854135647416115,0.015608585439622402,0.82785964012146,20,1.0,-21,1.0,0.8695652173913043,0.8272860810950505
10,0.04296088218688965,0.033812880516052246,0.026884371414780617,0.16305600106716156,0.011805933900177479,0.00791363138705492,0.6703090667724609,21,1.0,-21,1.0,0.5652173913043478,0.3991096532904532
