,Step,Loss,Type
0,0,1.0458264350891113,Train
1,10,1.0410507917404175,Train
2,20,0.9155992269515991,Train
3,30,0.6606834530830383,Train
4,40,0.8402523994445801,Train
5,50,0.7377138137817383,Train
6,60,0.5488675832748413,Train
7,70,0.4951906204223633,Train
8,80,0.3548896908760071,Train
9,90,0.32258841395378113,Train
10,100,0.26702219247817993,Train
11,110,0.25070008635520935,Train
12,120,0.14119917154312134,Train
13,130,0.11253638565540314,Train
14,140,0.06644506752490997,Train
15,150,0.10947002470493317,Train
16,160,0.08500748127698898,Train
17,170,0.0940457209944725,Train
18,180,0.07360462099313736,Train
19,190,0.08318091928958893,Train
20,200,0.06935568898916245,Train
21,210,0.07886026799678802,Train
22,220,0.1083650216460228,Train
23,230,0.08021598309278488,Train
24,240,0.05801622197031975,Train
25,250,0.06816944479942322,Train
26,260,0.06343741714954376,Train
27,270,0.06790591031312943,Train
28,280,0.06094033271074295,Train
29,290,0.036378514021635056,Train
30,300,0.041055481880903244,Train
31,310,0.03643769398331642,Train
32,320,0.047817301005125046,Train
33,330,0.0426548533141613,Train
34,340,0.05209265276789665,Train
35,350,0.051362715661525726,Train
36,360,0.03764113038778305,Train
37,370,0.04993054270744324,Train
38,380,0.024807754904031754,Train
39,390,0.051929861307144165,Train
40,400,0.04937215894460678,Train
41,410,0.026057090610265732,Train
42,420,0.060730885714292526,Train
43,430,0.027674514800310135,Train
44,440,0.043690722435712814,Train
45,450,0.03291289508342743,Train
46,460,0.03104383870959282,Train
47,470,0.03633362799882889,Train
48,480,0.01856243424117565,Train
49,490,0.024552371352910995,Train
50,500,0.03540514409542084,Train
51,510,0.029989680275321007,Train
52,520,0.03368585184216499,Train
53,530,0.04259722679853439,Train
54,540,0.03875153139233589,Train
55,550,0.028667962178587914,Train
56,560,0.026084957644343376,Train
57,570,0.020920244976878166,Train
58,580,0.024945085868239403,Train
59,590,0.04082278907299042,Train
60,600,0.026413798332214355,Train
61,610,0.03450272977352142,Train
62,620,0.023338906466960907,Train
63,630,0.017996862530708313,Train
64,640,0.029104774817824364,Train
65,650,0.028402414172887802,Train
66,660,0.012764185667037964,Train
67,670,0.023733358830213547,Train
68,680,0.025008928030729294,Train
69,690,0.03280489146709442,Train
70,700,0.022234566509723663,Train
71,710,0.031386472284793854,Train
72,720,0.02642887458205223,Train
73,730,0.03529192507266998,Train
74,740,0.019126540049910545,Train
75,750,0.013540247455239296,Train
76,760,0.03176061436533928,Train
77,770,0.0288311168551445,Train
78,780,0.02150159701704979,Train
79,790,0.03013797663152218,Train
80,800,0.02032853662967682,Train
81,810,0.036447443068027496,Train
82,820,0.017097722738981247,Train
83,830,0.011390596628189087,Train
84,840,0.01917530596256256,Train
85,850,0.011565661057829857,Train
86,860,0.05094680190086365,Train
