Experiment no,d_model,d_ff,distill,time embedding,dropout,learnable params,Best Val Step,train loss,best validation loss,jaggedness_ratio (pred/real),MSE,MAE
d32_nodist_notime_drop0.05,32,128,False,False,0.050000,72961,6300,0.003010,0.006879,2.559800,0.004200,0.052600
d32_nodist_notime_drop0.1,32,128,False,False,0.100000,72961,5400,0.005991,0.006771,3.634500,0.007600,0.070800
d32_nodist_time_drop0.05,32,128,False,True,0.050000,75225,6000,0.002245,0.012557,3.819200,0.013900,0.098200
d32_nodist_time_drop0.1,32,128,False,True,0.100000,75225,6000,0.002433,0.012574,3.987300,0.013700,0.096600
d64_nodist_notime_drop0.05,64,256,False,False,0.050000,285185,5600,0.004351,0.003669,2.132500,0.006200,0.064100
d64_nodist_notime_drop0.1,64,256,False,False,0.100000,285185,5600,0.005158,0.004147,2.304400,0.006200,0.064500
d64_nodist_time_drop0.05,64,256,False,True,0.050000,291417,4500,0.006499,0.004852,2.527800,0.005700,0.058400
d64_nodist_time_drop0.1,64,256,False,True,0.100000,291417,4500,0.006177,0.005014,2.682000,0.005700,0.056600
