batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.035454899072647095,0.012469002977013588,0.011296175420284271,0.10144861787557602,0.013154055923223495,0.00866393931210041,0.6586510539054871,-22,1.0,21,1.0,0.7391304347826086,0.5752247347515824
2,0.041080888360738754,0.026475220918655396,0.013231378979980946,0.11177084594964981,0.023873625323176384,0.015485426411032677,0.6486413478851318,-22,1.0,-21,1.0,0.782608695652174,0.8463872035503676
3,0.03515516221523285,0.020929565653204918,0.0018841499695554376,0.03840821236371994,0.011400177143514156,0.009829023852944374,0.8621808886528015,-19,1.0,21,1.0,0.7391304347826086,0.8266766208416626
4,0.02156544290482998,0.016369471326470375,0.0010808455990627408,0.02990681119263172,0.014816304668784142,0.010526200756430626,0.7104465961456299,-22,1.0,-21,1.0,0.6956521739130435,0.8709671471049844
5,0.022420300170779228,0.01145787164568901,0.0010703728767111897,0.029581867158412933,0.013317657634615898,0.008956131525337696,0.6725000143051147,-22,1.0,-21,1.0,0.7391304347826086,0.8517608845714429
6,0.02529751881957054,0.013385063968598843,0.0066531747579574585,0.07474847882986069,0.010438167490065098,0.007616022136062384,0.7296313643455505,-22,1.0,-21,0.9999999999999998,0.6956521739130435,0.6861654659749779
7,0.052468594163656235,0.022179773077368736,0.009038155898451805,0.08658639341592789,0.02050982415676117,0.01102757453918457,0.5376725792884827,-22,1.0,0,0.8096386573590613,0.8260869565217391,0.8096386573590613
8,0.13776108622550964,0.11815812438726425,0.005961284041404724,0.06861022859811783,0.05177198722958565,0.03629056364297867,0.7009689807891846,-22,1.0,0,0.9080730363168735,0.8695652173913043,0.9080730363168735
9,0.014098328538239002,0.00551209831610322,0.011868027038872242,0.10816534608602524,0.0067144581116735935,0.005704320035874844,0.8495565056800842,-19,1.0,21,1.0,0.6956521739130435,0.650213805382148
10,0.023278189823031425,0.011427439749240875,0.0012949975207448006,0.027361398562788963,0.013370011001825333,0.008622149005532265,0.6448867321014404,-22,1.0,21,1.0,0.6956521739130435,0.47337248287557065
