,Step,Loss,Type
0,0,0.906951904296875,Train
1,10,0.8219778537750244,Train
2,20,0.9141148328781128,Train
3,30,0.8494288325309753,Train
4,40,1.0487637519836426,Train
5,50,0.8025214672088623,Train
6,60,1.1447023153305054,Train
7,70,1.2085764408111572,Train
8,80,0.8741660118103027,Train
9,90,0.7205405235290527,Train
10,100,1.118595838546753,Train
11,110,0.9242927432060242,Train
12,120,0.9502100944519043,Train
13,130,0.8481746912002563,Train
14,140,1.225921392440796,Train
15,150,0.6832682490348816,Train
16,160,0.8793279528617859,Train
17,170,0.7343632578849792,Train
18,180,0.8906482458114624,Train
19,190,0.9945101737976074,Train
20,200,1.0418612957000732,Train
21,210,1.0103950500488281,Train
22,220,0.8532759547233582,Train
23,230,0.7318794131278992,Train
24,240,0.9126569628715515,Train
25,250,0.8112373352050781,Train
26,260,0.9627676010131836,Train
27,270,0.685725212097168,Train
28,280,0.8949786424636841,Train
29,290,0.7871147394180298,Train
30,300,1.0321741104125977,Train
31,310,0.811851978302002,Train
32,320,0.607524573802948,Train
33,330,0.4895319640636444,Train
34,340,0.5527423620223999,Train
35,350,0.5911755561828613,Train
36,360,0.6539248824119568,Train
37,370,0.43071991205215454,Train
38,380,0.49264025688171387,Train
39,390,0.4054396152496338,Train
40,400,0.6216062307357788,Train
41,410,0.32198721170425415,Train
42,420,0.2929776906967163,Train
43,430,0.3773404359817505,Train
44,440,0.2759091854095459,Train
45,450,0.2795589864253998,Train
46,460,0.1745571345090866,Train
47,470,0.2481122463941574,Train
48,480,0.34439539909362793,Train
49,490,0.4212687611579895,Train
50,500,0.19496986269950867,Train
51,510,0.15811720490455627,Train
52,520,0.1432119756937027,Train
53,530,0.12237130105495453,Train
54,540,0.21603743731975555,Train
55,550,0.15365874767303467,Train
56,560,0.11725299060344696,Train
57,570,0.29331254959106445,Train
58,580,0.11804165691137314,Train
59,590,0.23481039702892303,Train
60,600,0.17433667182922363,Train
61,610,0.17681638896465302,Train
62,620,0.16634152829647064,Train
63,630,0.31015530228614807,Train
64,640,0.12178261578083038,Train
65,650,0.08586043119430542,Train
66,660,0.23720312118530273,Train
67,670,0.13713428378105164,Train
68,680,0.1156684011220932,Train
69,690,0.2240518182516098,Train
70,700,0.26426267623901367,Train
71,710,0.09345941245555878,Train
72,720,0.07590977847576141,Train
73,730,0.1443955898284912,Train
74,740,0.03198353573679924,Train
75,750,0.05850246176123619,Train
76,760,0.08534460514783859,Train
77,770,0.12590572237968445,Train
78,780,0.08527453988790512,Train
79,790,0.15126526355743408,Train
80,800,0.026087544858455658,Train
81,810,0.04116492345929146,Train
82,820,0.03383411094546318,Train
83,830,0.08191444724798203,Train
84,840,0.1121026873588562,Train
85,850,0.07260496914386749,Train
86,860,0.04967862367630005,Train
87,870,0.1154869794845581,Train
88,880,0.08183461427688599,Train
89,890,0.04569293186068535,Train
90,900,0.19795095920562744,Train
91,910,0.04911525174975395,Train
92,920,0.03352710232138634,Train
93,930,0.03394024819135666,Train
94,940,0.04663808271288872,Train
95,950,0.032694242894649506,Train
96,960,0.04992865025997162,Train
97,970,0.025306066498160362,Train
98,980,0.0992673859000206,Train
99,990,0.036058031022548676,Train
100,1000,0.06613056361675262,Train
101,1010,0.07718873023986816,Train
102,1020,0.03761882707476616,Train
103,1030,0.023495309054851532,Train
104,1040,0.025592908263206482,Train
105,1050,0.023674581199884415,Train
106,1060,0.06492185592651367,Train
107,1070,0.025156810879707336,Train
108,1080,0.047203850001096725,Train
109,1090,0.045620646327733994,Train
110,1100,0.03285342454910278,Train
111,1110,0.00871322676539421,Train
112,1120,0.04376010596752167,Train
113,1130,0.03905729949474335,Train
114,1140,0.07943316549062729,Train
115,1150,0.030622592195868492,Train
116,1160,0.008242348209023476,Train
117,1170,0.02652447484433651,Train
118,1180,0.012486669234931469,Train
119,1190,0.01784433051943779,Train
120,1200,0.01598239690065384,Train
121,1210,0.00924602895975113,Train
122,1220,0.04536404460668564,Train
123,1230,0.009736248292028904,Train
124,1240,0.028341785073280334,Train
125,1250,0.028522882610559464,Train
126,1260,0.032070040702819824,Train
127,1270,0.03023800253868103,Train
128,1280,0.011043207719922066,Train
129,1290,0.01407216303050518,Train
130,1300,0.026403358206152916,Train
131,1310,0.01768173649907112,Train
132,1320,0.014465808868408203,Train
133,1330,0.034258902072906494,Train
134,1340,0.015194304287433624,Train
135,1350,0.005196758545935154,Train
136,1360,0.030428385362029076,Train
137,1370,0.007909132167696953,Train
138,1380,0.018775178119540215,Train
139,1390,0.01708035171031952,Train
140,1400,0.020345930010080338,Train
141,1410,0.013918690383434296,Train
142,1420,0.034594517201185226,Train
143,1430,0.01583985611796379,Train
144,1440,0.019308876246213913,Train
145,1450,0.020372219383716583,Train
146,1460,0.011481873691082,Train
147,1470,0.026920616626739502,Train
148,1480,0.029305024072527885,Train
149,1490,0.015316149219870567,Train
150,1500,0.030065637081861496,Train
151,1510,0.02169020287692547,Train
152,1520,0.025406677275896072,Train
153,1530,0.01779322326183319,Train
154,1540,0.008867464028298855,Train
155,1550,0.016407782211899757,Train
156,1560,0.017112314701080322,Train
157,1570,0.016538437455892563,Train
158,1580,0.01760600134730339,Train
159,1590,0.026774702593684196,Train
160,1600,0.022553717717528343,Train
161,1610,0.009223418310284615,Train
162,1620,0.011870644986629486,Train
163,1630,0.012564021162688732,Train
164,1640,0.00905075203627348,Train
165,1650,0.012443672865629196,Train
166,1660,0.03612068295478821,Train
167,1670,0.018018901348114014,Train
168,1680,0.014926059171557426,Train
169,1690,0.026274804025888443,Train
170,1700,0.006917507853358984,Train
171,1710,0.025792991742491722,Train
172,1720,0.009290585294365883,Train
173,1730,0.013388289138674736,Train
174,1740,0.014601116999983788,Train
175,1750,0.021077245473861694,Train
176,1760,0.013849711045622826,Train
177,1770,0.005119127221405506,Train
178,1780,0.010964414104819298,Train
179,1790,0.006558918859809637,Train
180,1800,0.008512711152434349,Train
181,1810,0.008792703971266747,Train
