,Step,Loss,Type
0,0,0.9249553680419922,Train
1,10,1.1686586141586304,Train
2,20,0.8575959205627441,Train
3,30,0.9370779991149902,Train
4,40,0.7421613931655884,Train
5,50,0.7474824786186218,Train
6,60,0.7003650069236755,Train
7,70,1.0408915281295776,Train
8,80,0.9893932342529297,Train
9,90,0.9466179609298706,Train
10,100,0.78685063123703,Train
11,110,0.9827477335929871,Train
12,120,0.8807303309440613,Train
13,130,0.6575278043746948,Train
14,140,0.7680801749229431,Train
15,150,1.026992917060852,Train
16,160,0.9214540719985962,Train
17,170,0.8141862154006958,Train
18,180,1.0230637788772583,Train
19,190,0.7664443254470825,Train
20,200,0.5867149233818054,Train
21,210,0.8051174879074097,Train
22,220,0.5492243766784668,Train
23,230,0.5617184638977051,Train
24,240,0.5203871726989746,Train
25,250,0.6084668040275574,Train
26,260,0.5597590804100037,Train
27,270,0.31368187069892883,Train
28,280,0.2504887282848358,Train
29,290,0.2701732814311981,Train
30,300,0.29011252522468567,Train
31,310,0.1830780953168869,Train
32,320,0.204227015376091,Train
33,330,0.2692650258541107,Train
34,340,0.07228060066699982,Train
35,350,0.12058758735656738,Train
36,360,0.19578084349632263,Train
37,370,0.28748494386672974,Train
38,380,0.14998723566532135,Train
39,390,0.15996292233467102,Train
40,400,0.11279013007879257,Train
41,410,0.09415307641029358,Train
42,420,0.12798503041267395,Train
43,430,0.07857345789670944,Train
44,440,0.11022695153951645,Train
45,450,0.051353275775909424,Train
46,460,0.06299949437379837,Train
47,470,0.10182613134384155,Train
48,480,0.028502976521849632,Train
49,490,0.04566919058561325,Train
50,500,0.04426484927535057,Train
51,510,0.07689400017261505,Train
52,520,0.06924479454755783,Train
53,530,0.07137282192707062,Train
54,540,0.10824227333068848,Train
55,550,0.035103291273117065,Train
56,560,0.0435635969042778,Train
57,570,0.05348021909594536,Train
58,580,0.0915965661406517,Train
59,590,0.0642811730504036,Train
60,600,0.025185294449329376,Train
61,610,0.07887106388807297,Train
62,620,0.04055920988321304,Train
63,630,0.02437545731663704,Train
64,640,0.037599995732307434,Train
65,650,0.013366865925490856,Train
66,660,0.04270518571138382,Train
67,670,0.019751375541090965,Train
68,680,0.022934352979063988,Train
69,690,0.041122328490018845,Train
70,700,0.006884440779685974,Train
71,710,0.017334625124931335,Train
72,720,0.034414634108543396,Train
73,730,0.01435822807252407,Train
74,740,0.008548441343009472,Train
75,750,0.029607512056827545,Train
76,760,0.014793150126934052,Train
77,770,0.019622918218374252,Train
78,780,0.010371583513915539,Train
79,790,0.020524678751826286,Train
80,800,0.007673445623368025,Train
81,810,0.018965905532240868,Train
82,820,0.02440621331334114,Train
83,830,0.007607366889715195,Train
84,840,0.03823665902018547,Train
85,850,0.016667988151311874,Train
86,860,0.01745726726949215,Train
87,870,0.013795762322843075,Train
88,880,0.009314948692917824,Train
89,890,0.030074596405029297,Train
90,900,0.00946011207997799,Train
91,910,0.009451513178646564,Train
92,920,0.009004357270896435,Train
93,930,0.029187684878706932,Train
94,940,0.020990367978811264,Train
95,950,0.028996776789426804,Train
96,960,0.006434129551053047,Train
97,970,0.010353973135352135,Train
98,980,0.01735527068376541,Train
99,990,0.00800363626331091,Train
100,1000,0.014387647621333599,Train
101,1010,0.025142278522253036,Train
102,1020,0.023738786578178406,Train
103,1030,0.00989748165011406,Train
104,1040,0.01794241927564144,Train
105,1050,0.009065559133887291,Train
106,1060,0.01059812307357788,Train
107,1070,0.008284900337457657,Train
108,1080,0.008453739807009697,Train
109,1090,0.013852584175765514,Train
110,1100,0.020119670778512955,Train
111,1110,0.01058507151901722,Train
112,1120,0.004976002033799887,Train
113,1130,0.012032142840325832,Train
114,1140,0.00664152717217803,Train
115,1150,0.00716766994446516,Train
116,1160,0.029480036348104477,Train
117,1170,0.006939103361219168,Train
118,1180,0.020231273025274277,Train
119,1190,0.014704927802085876,Train
120,1200,0.018818454816937447,Train
121,1210,0.023594647645950317,Train
122,1220,0.03575059026479721,Train
123,1230,0.015500031411647797,Train
124,1240,0.017912492156028748,Train
125,1250,0.014536065980792046,Train
126,1260,0.015515854582190514,Train
127,1270,0.012300131842494011,Train
128,1280,0.010773200541734695,Train
129,1290,0.010719869285821915,Train
130,1300,0.02223842404782772,Train
131,1310,0.0159371979534626,Train
132,1320,0.008977171964943409,Train
133,1330,0.011365915648639202,Train
134,1340,0.01203607302159071,Train
135,1350,0.019678112119436264,Train
136,1360,0.013336027972400188,Train
137,1370,0.012382036074995995,Train
138,1380,0.012359671294689178,Train
139,1390,0.009244190528988838,Train
140,1400,0.01569466106593609,Train
141,1410,0.0076652029529213905,Train
142,1420,0.016488797962665558,Train
143,1430,0.0058432938531041145,Train
144,1440,0.013845069333910942,Train
145,1450,0.0046935249119997025,Train
146,1460,0.005812139715999365,Train
147,1470,0.010356009937822819,Train
148,1480,0.024932987987995148,Train
149,1490,0.006453440524637699,Train
150,1500,0.005178853403776884,Train
151,1510,0.010892210528254509,Train
152,1520,0.01450334396213293,Train
153,1530,0.015259522944688797,Train
154,1540,0.006221063435077667,Train
155,1550,0.009456451050937176,Train
156,1560,0.012284062802791595,Train
157,1570,0.010176357813179493,Train
158,1580,0.005258648656308651,Train
159,1590,0.010810083709657192,Train
160,1600,0.004394506104290485,Train
161,1610,0.014923952519893646,Train
162,1620,0.0060060820542275906,Train
163,1630,0.010017688386142254,Train
164,1640,0.007007715757936239,Train
165,1650,0.007227336522191763,Train
166,1660,0.00402425741776824,Train
167,1670,0.02406565099954605,Train
168,1680,0.00675407936796546,Train
169,1690,0.004744501784443855,Train
170,1700,0.008881278336048126,Train
171,1710,0.01102022361010313,Train
172,1720,0.013457229360938072,Train
173,1730,0.009882371872663498,Train
174,1740,0.006851818412542343,Train
175,1750,0.010633601807057858,Train
176,1760,0.005244873464107513,Train
177,1770,0.009002226404845715,Train
178,1780,0.006350701209157705,Train
179,1790,0.005725855007767677,Train
180,1800,0.0075056105852127075,Train
181,1810,0.007024944759905338,Train
182,1820,0.012143574655056,Train
183,1830,0.00766467209905386,Train
184,1840,0.003095202846452594,Train
185,1850,0.008154118433594704,Train
186,1860,0.007568747736513615,Train
187,1870,0.010104138404130936,Train
188,1880,0.0038960292004048824,Train
189,1890,0.02079036831855774,Train
190,1900,0.006224486511200666,Train
191,1910,0.00724000995978713,Train
192,1920,0.004321452230215073,Train
193,1930,0.0059531982988119125,Train
194,1940,0.02853478491306305,Train
195,1950,0.0072164032608270645,Train
