batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.028463102877140045,0.009238208644092083,0.006255645304918289,0.0758729949593544,0.015156621113419533,0.007437498774379492,0.49070921540260315
2,0.037483252584934235,0.031333986669778824,0.004850505385547876,0.06609015166759491,0.010758837684988976,0.01126157958060503,1.0467272996902466
3,0.08431994915008545,0.048589400947093964,0.005535956472158432,0.06600946933031082,0.02418120764195919,0.020437221974134445,0.8451693058013916
4,0.03087477944791317,0.023377230390906334,0.0032583747524768114,0.05221627652645111,0.02175326459109783,0.013280407525599003,0.6105015277862549
5,0.06495335698127747,0.04710978642106056,0.0008145378087647259,0.022378161549568176,0.013311108574271202,0.012007420882582664,0.9020594954490662
6,0.0355207622051239,0.019256602972745895,0.004398534540086985,0.06202121451497078,0.010333465412259102,0.012182085774838924,1.1788952350616455
7,0.01908581703901291,0.01601211540400982,0.0036228119861334562,0.05789206549525261,0.00854031927883625,0.006821590941399336,0.7987503409385681
8,0.0295859482139349,0.030861470848321915,0.0007550963200628757,0.021445786580443382,0.020437857136130333,0.020649706944823265,1.0103651285171509
9,0.017157843336462975,0.013555953279137611,0.0024549977388232946,0.04751775786280632,0.010084777139127254,0.010349730029702187,1.0262714624404907
10,0.014795497059822083,0.04860951378941536,0.008602128364145756,0.08317223191261292,0.010595233179628849,0.012509050779044628,1.1806288957595825
