batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.024540310725569725,0.014017153531312943,0.00025261580594815314,0.013247492723166943,0.016098983585834503,0.009398942813277245,0.5838217735290527
2,0.04845298454165459,0.030552679672837257,0.019336743280291557,0.13667461276054382,0.02051638811826706,0.014219074510037899,0.6930590271949768
3,0.04557909443974495,0.03008856810629368,0.02058584615588188,0.14145851135253906,0.020522937178611755,0.0140192536637187,0.6831014156341553
4,0.03691442683339119,0.028708338737487793,0.03436996415257454,0.18434171378612518,0.021805617958307266,0.01590634509921074,0.7294605374336243
5,0.04449613764882088,0.05571291223168373,0.021208303049206734,0.1449483036994934,0.011537601239979267,0.010779909789562225,0.9343276619911194
6,0.045224498957395554,0.031510889530181885,0.00816859770566225,0.08721307665109634,0.02639971673488617,0.016237610951066017,0.6150674223899841
7,0.0546184778213501,0.027578482404351234,0.0020920319948345423,0.03538921847939491,0.024233553558588028,0.01922900229692459,0.7934864163398743
8,0.07350441068410873,0.02930031158030033,0.027984032407402992,0.1596972793340683,0.025542430579662323,0.01292425673455,0.5059914588928223
9,0.04855947941541672,0.014575696550309658,0.007914768531918526,0.08083057403564453,0.020195728167891502,0.010318626649677753,0.5109308958053589
10,0.027723440900444984,0.030359087511897087,0.010018054395914078,0.0935906171798706,0.0174143984913826,0.013694006018340588,0.7863606810569763
