batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.043451715260744095,0.036709532141685486,0.017073841765522957,0.12959623336791992,0.0216878242790699,0.017294656485319138,0.7974358797073364
2,0.02948860451579094,0.02275088056921959,0.0036465160083025694,0.05912160873413086,0.011910640634596348,0.00847017765045166,0.7111431360244751
3,0.06386467069387436,0.03772711008787155,0.03793538734316826,0.19257409870624542,0.01403752900660038,0.008410453796386719,0.5991401672363281
4,0.015207069925963879,0.012693149968981743,0.07658624649047852,0.27638304233551025,0.010582138784229755,0.008629814721643925,0.8155068159103394
5,0.04558234289288521,0.014000515453517437,0.04914671182632446,0.21813565492630005,0.019502030685544014,0.00991216953843832,0.5082632303237915
6,0.06849131733179092,0.07231119275093079,0.08275066316127777,0.2872312366962433,0.023775458335876465,0.02308572642505169,0.9709893465042114
7,0.021146323531866074,0.016105107963085175,0.06583119928836823,0.25504788756370544,0.01347472332417965,0.010825074277818203,0.8033609390258789
8,0.014594245702028275,0.019749663770198822,0.048352282494306564,0.21947412192821503,0.0066228327341377735,0.010618465952575207,1.6033093929290771
9,0.023111646994948387,0.024184610694646835,0.03631703183054924,0.18956749141216278,0.012709042057394981,0.012489266693592072,0.9827063679695129
10,0.027826787903904915,0.02688656933605671,0.02597988210618496,0.15905849635601044,0.020483674481511116,0.010791679844260216,0.5268427133560181
