batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.008325901813805103,0.026245202869176865,0.004852897021919489,0.06446102261543274,0.0054710377007722855,0.03330012410879135,6.086608409881592
2,0.03527131676673889,0.025836320593953133,0.0019955639727413654,0.033610180020332336,0.01266977284103632,0.02079811878502369,1.6415529251098633
3,0.017320990562438965,0.04262935742735863,0.003657422959804535,0.051322054117918015,0.0077550048008561134,0.04635224491357803,5.977067470550537
4,0.03637923672795296,0.053729020059108734,0.0015379508258774877,0.02936110645532608,0.02395869605243206,0.028780870139598846,1.2012698650360107
5,0.0229171309620142,0.025944078341126442,0.0018270794535055757,0.03556254133582115,0.017879050225019455,0.01977304182946682,1.1059329509735107
6,0.032494205981492996,0.02654382772743702,0.0017853528261184692,0.034083716571331024,0.01091590616852045,0.022718681022524834,2.0812435150146484
7,0.06295658648014069,0.04525497183203697,0.003806191496551037,0.05153561010956764,0.016779594123363495,0.03700810298323631,2.205540895462036
8,0.01977701112627983,0.028882106766104698,0.0008994435775093734,0.02300594188272953,0.013226022012531757,0.02778875268995762,2.101064920425415
9,0.023224592208862305,0.0425531379878521,0.02234669029712677,0.14352412521839142,0.019848870113492012,0.027094177901744843,1.3650230169296265
10,0.048259418457746506,0.05595284700393677,0.01451785583049059,0.1179576888680458,0.018435291945934296,0.027884390205144882,1.5125540494918823
