batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.034427303820848465,0.018509507179260254,0.05544121190905571,0.23453640937805176,0.010516703128814697,0.006728024687618017,0.6397459506988525
2,0.02488650381565094,0.02393687143921852,0.000168963146279566,0.010782845318317413,0.010268012061715126,0.009199549444019794,0.8959417343139648
3,0.028296075761318207,0.018350379541516304,0.05742235481739044,0.23849636316299438,0.01465926505625248,0.010722440667450428,0.7314441204071045
4,0.06299443542957306,0.050577107816934586,0.07166720181703568,0.266922265291214,0.013363460078835487,0.010493527166545391,0.7852396965026855
5,0.0269258264452219,0.018566828221082687,0.06597834825515747,0.25652456283569336,0.009364879690110683,0.007559838704764843,0.807253360748291
6,0.03045203536748886,0.022703316062688828,0.06616077572107315,0.25675225257873535,0.00971827283501625,0.007606983184814453,0.7827497124671936
7,0.026288948953151703,0.027213701978325844,0.06104157492518425,0.24668191373348236,0.01021566055715084,0.01138292159885168,1.1142607927322388
8,0.04316550865769386,0.03577359393239021,0.07533099502325058,0.2741234302520752,0.009639755822718143,0.008939510211348534,0.9273576140403748
9,0.02902413159608841,0.02090085670351982,0.06913435459136963,0.2624976634979248,0.01441056840121746,0.01079739723354578,0.7492688298225403
10,0.02545863576233387,0.016542894765734673,0.05795055255293846,0.23965223133563995,0.014711618423461914,0.010646027512848377,0.7236471176147461
