batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.017621872946619987,0.03567511960864067,0.0090893330052495,0.08694526553153992,0.012421089224517345,0.03026825375854969,2.4368417263031006
2,0.03370339795947075,0.03019261546432972,0.09111440926790237,0.2966015636920929,0.013049348257482052,0.02192831039428711,1.6804128885269165
3,0.013484757393598557,0.027494661509990692,0.012963156215846539,0.10948485136032104,0.008056034334003925,0.032511912286281586,4.035716533660889
4,0.022844990715384483,0.0249621719121933,0.020046843215823174,0.13630788028240204,0.013350380584597588,0.023454634472727776,1.756850004196167
5,0.016079770401120186,0.027367735281586647,0.009919688105583191,0.09389200061559677,0.007892442867159843,0.021691732108592987,2.7484145164489746
6,0.016709037125110626,0.030934376642107964,0.0010755580151453614,0.02486252784729004,0.013442003168165684,0.02856377325952053,2.124962329864502
7,0.042461495846509933,0.0271450188010931,0.061886560171842575,0.2413511723279953,0.020915601402521133,0.02329901047050953,1.1139531135559082
8,0.05723097175359726,0.026290850713849068,0.008007495664060116,0.07645246386528015,0.02295743301510811,0.026175394654273987,1.1401703357696533
9,0.02361779473721981,0.02363918535411358,0.04638874903321266,0.2128298282623291,0.011197315528988838,0.021242458373308182,1.8971010446548462
10,0.025894667953252792,0.01756572537124157,0.04185650870203972,0.20324410498142242,0.011400173418223858,0.020659685134887695,1.8122239112854004
