batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.018909573554992676,0.017623217776417732,0.08517032861709595,0.2904415726661682,0.008762829005718231,0.01583162508904934,1.8066775798797607
2,0.04467190057039261,0.03199712187051773,0.014670922420918941,0.11567652225494385,0.020169543102383614,0.019117791205644608,0.9478540420532227
3,0.03051399253308773,0.024600978940725327,0.006923770532011986,0.07573392242193222,0.015856856480240822,0.014594575390219688,0.9203947186470032
4,0.026214884594082832,0.01707780361175537,0.03228506073355675,0.17765210568904877,0.00747360335662961,0.015618366189301014,2.08980131149292
5,0.015877192839980125,0.01750873774290085,0.0943368673324585,0.30675289034843445,0.0082981763407588,0.015000970102846622,1.8077408075332642
6,0.01193209271878004,0.023311449214816093,0.0582723505795002,0.24015630781650543,0.008016767911612988,0.020274758338928223,2.529040813446045
7,0.0462673082947731,0.04028931260108948,0.005448039621114731,0.06298550963401794,0.019744159653782845,0.03343851491808891,1.6935893297195435
8,0.018620602786540985,0.028546180576086044,0.12423467636108398,0.3514556884765625,0.00943034328520298,0.025184471160173416,2.6705756187438965
9,0.06303867697715759,0.041345443576574326,0.054706886410713196,0.22998999059200287,0.014914468862116337,0.026903018355369568,1.8038188219070435
10,0.02672383561730385,0.03346451744437218,0.0378590002655983,0.19240224361419678,0.014161874540150166,0.024127602577209473,1.7036999464035034
