,Step,Loss,Type
0,0,1.0345513820648193,Train
1,10,1.0321719646453857,Train
2,20,1.1797964572906494,Train
3,30,1.258352518081665,Train
4,40,1.3057904243469238,Train
5,50,0.8628295660018921,Train
6,60,0.9071422815322876,Train
7,70,1.114501953125,Train
8,80,1.0175617933273315,Train
9,90,1.124204397201538,Train
10,100,1.1279077529907227,Train
11,110,1.272855520248413,Train
12,120,0.9578163027763367,Train
13,130,0.7451956272125244,Train
14,140,1.0004054307937622,Train
15,150,0.9391783475875854,Train
16,160,0.8373152613639832,Train
17,170,0.8941186666488647,Train
18,180,0.9176627993583679,Train
19,190,1.2880606651306152,Train
20,200,0.6882330775260925,Train
21,210,0.8929454684257507,Train
22,220,0.6586669683456421,Train
23,230,0.5696510076522827,Train
24,240,0.9262513518333435,Train
25,250,0.7779254913330078,Train
26,260,0.7716816663742065,Train
27,270,0.9587749242782593,Train
28,280,0.8409600257873535,Train
29,290,0.6941986083984375,Train
30,300,1.1572890281677246,Train
31,310,0.5149378776550293,Train
32,320,0.7208248972892761,Train
33,330,0.6188162565231323,Train
34,340,1.171744704246521,Train
35,350,0.751046359539032,Train
36,360,0.28828543424606323,Train
37,370,0.5228512287139893,Train
38,380,0.39225444197654724,Train
39,390,0.7248765826225281,Train
40,400,0.5878810286521912,Train
41,410,0.5744364261627197,Train
42,420,0.5604498386383057,Train
43,430,0.5544646382331848,Train
44,440,0.38933008909225464,Train
45,450,0.28610125184059143,Train
46,460,0.550742506980896,Train
47,470,0.5345801711082458,Train
48,480,0.18272551894187927,Train
49,490,0.21371448040008545,Train
50,500,0.20901046693325043,Train
51,510,0.5022495985031128,Train
52,520,0.26987794041633606,Train
53,530,0.271944135427475,Train
54,540,0.17370173335075378,Train
55,550,0.20651161670684814,Train
56,560,0.19907495379447937,Train
57,570,0.13225843012332916,Train
58,580,0.16760918498039246,Train
59,590,0.23353081941604614,Train
60,600,0.26980337500572205,Train
61,610,0.24285155534744263,Train
62,620,0.16800206899642944,Train
63,630,0.1333184540271759,Train
64,640,0.21998880803585052,Train
65,650,0.14078915119171143,Train
66,660,0.13017547130584717,Train
67,670,0.16936753690242767,Train
68,680,0.13307413458824158,Train
69,690,0.12609080970287323,Train
70,700,0.08151732385158539,Train
71,710,0.138796865940094,Train
72,720,0.22436879575252533,Train
73,730,0.15649506449699402,Train
74,740,0.1836237609386444,Train
75,750,0.034173235297203064,Train
76,760,0.05821501463651657,Train
77,770,0.1254698932170868,Train
78,780,0.08800651133060455,Train
79,790,0.0906960517168045,Train
80,800,0.040801383554935455,Train
81,810,0.11980648338794708,Train
82,820,0.24207803606987,Train
83,830,0.1160118579864502,Train
84,840,0.1936708688735962,Train
85,850,0.16635096073150635,Train
86,860,0.067005954682827,Train
87,870,0.11053182929754257,Train
88,880,0.07694919407367706,Train
89,890,0.1471494883298874,Train
90,900,0.06022924184799194,Train
91,910,0.07874345034360886,Train
