Experiment no,d_model,d_ff,distill,time embedding,dropout,learnable params,Best Val Step,train loss,best validation loss,jaggedness_ratio (pred/real),MSE,MAE
d32_nodist_notime_drop0.05,32,128,False,False,0.050000,72833,7000,0.003811,0.010904,0.707500,0.007600,0.075200
d32_nodist_notime_drop0.1,32,128,False,False,0.100000,72833,7000,0.003925,0.009406,0.726400,0.006900,0.070700
d32_nodist_time_drop0.05,32,128,False,True,0.050000,75033,8400,0.001883,0.011588,1.084700,0.009600,0.085000
d32_nodist_time_drop0.1,32,128,False,True,0.100000,75033,8400,0.001941,0.011406,1.121500,0.009600,0.084900
d64_nodist_notime_drop0.05,64,256,False,False,0.050000,284929,4100,0.001597,0.002615,0.801400,0.001400,0.029200
d64_nodist_notime_drop0.1,64,256,False,False,0.100000,284929,5100,0.001316,0.002922,0.881300,0.004700,0.043700
d64_nodist_time_drop0.05,64,256,False,True,0.050000,291033,6400,0.000956,0.006001,0.781400,0.005700,0.065300
d64_nodist_time_drop0.1,64,256,False,True,0.100000,291033,5500,0.001625,0.005291,0.831700,0.004700,0.052700
