batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.035454899072647095,0.01257014274597168,0.011883210390806198,0.10380838066339493,0.013154055923223495,0.008440189063549042,0.6416410803794861,-22,1.0,21,0.9999999999999999,0.7391304347826086,0.5823278074259232
2,0.041080888360738754,0.02758902497589588,0.01352508645504713,0.11292662471532822,0.023873625323176384,0.01598488725721836,0.6695623397827148,-22,1.0,21,1.0,0.8260869565217391,0.8436649914185534
3,0.03515516221523285,0.019947905093431473,0.002385098719969392,0.04393329843878746,0.011400177143514156,0.010534439235925674,0.9240584373474121,-19,1.0,21,1.0,0.7391304347826086,0.8290630105792581
4,0.02156544290482998,0.017864881083369255,0.00130266638007015,0.03308216482400894,0.014816304668784142,0.010485571809113026,0.7077044248580933,-22,1.0,-21,1.0,0.6521739130434783,0.8488851542258801
5,0.022420300170779228,0.009772510267794132,0.0015494652325287461,0.03530115261673927,0.013317657634615898,0.009157240390777588,0.6876009106636047,-22,1.0,-21,1.0,0.6521739130434783,0.8175979485560122
6,0.02529751881957054,0.014571773819625378,0.006407584995031357,0.07257840782403946,0.010438167490065098,0.008044911548495293,0.7707199454307556,-22,1.0,-21,0.9999999999999998,0.7391304347826086,0.6984542874270002
7,0.052468594163656235,0.023318830877542496,0.008147943764925003,0.08194226771593094,0.02050982415676117,0.01183491200208664,0.5770359635353088,-22,1.0,0,0.809509483946242,0.8260869565217391,0.809509483946242
8,0.13776108622550964,0.12054714560508728,0.004977185279130936,0.06218963861465454,0.05177198722958565,0.035793133080005646,0.6913608312606812,-22,1.0,0,0.9178069678173694,0.8695652173913043,0.9178069678173694
9,0.014098328538239002,0.005839829333126545,0.012857015244662762,0.11248958855867386,0.0067144581116735935,0.005187454633414745,0.7725786566734314,-19,1.0,-21,1.0,0.6086956521739131,0.6248792524976025
10,0.023278189823031425,0.013395322486758232,0.001209694892168045,0.024792911484837532,0.013370011001825333,0.009523842483758926,0.7123281359672546,-22,1.0,20,0.7728056948605537,0.7391304347826086,0.477267937227171
