batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.034474436193704605,0.03273046761751175,0.0005962409195490181,0.019227737560868263,0.022270269691944122,0.014853782951831818,0.6669778823852539
2,0.04100861772894859,0.03344648331403732,0.0003412705846130848,0.013650856912136078,0.021098831668496132,0.015141059644520283,0.7176252007484436
3,0.03637923672795296,0.047619134187698364,0.001411211327649653,0.03041611798107624,0.02395869605243206,0.022316480055451393,0.9314560294151306
4,0.036829542368650436,0.03866706043481827,0.0011658197036013007,0.025951048359274864,0.02605287730693817,0.026009773835539818,0.9983451962471008
5,0.02079286426305771,0.01564371958374977,0.00015841149433981627,0.010181985795497894,0.013121332973241806,0.012859168462455273,0.980019211769104
6,0.017427191138267517,0.013667130842804909,0.0003763629065360874,0.01648878864943981,0.01225748285651207,0.009699404239654541,0.7913040518760681
7,0.037807345390319824,0.029128815978765488,0.002056865254417062,0.03738454729318619,0.021144643425941467,0.014020592905580997,0.6630798578262329
8,0.0260173287242651,0.018628740683197975,0.0029300434980541468,0.05185047909617424,0.011616144329309464,0.008431895636022091,0.7258766889572144
9,0.025839731097221375,0.02200990915298462,0.0035231206566095352,0.05350128188729286,0.019502028822898865,0.01442405954003334,0.7396180629730225
10,0.029421862214803696,0.01783592626452446,0.0007571984897367656,0.022245211526751518,0.013540169224143028,0.009907142259180546,0.731684684753418
