batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.01510255690664053,0.039572689682245255,0.04436609148979187,0.2062874585390091,0.008932976983487606,0.026042647659778595,2.915334701538086
2,0.04553605243563652,0.049796827137470245,0.015305242501199245,0.11056707054376602,0.013828114606440067,0.030791224911808968,2.226710081100464
3,0.012269427999854088,0.051397938281297684,0.041832685470581055,0.19974040985107422,0.008998414501547813,0.030968856066465378,3.441586494445801
4,0.03299601003527641,0.0365951769053936,0.050870608538389206,0.22232913970947266,0.014397471211850643,0.02590375393629074,1.7991864681243896
5,0.027317767962813377,0.0182351004332304,0.037897951900959015,0.193092942237854,0.013134422712028027,0.014402358792722225,1.0965344905853271
6,0.043859731405973434,0.057861220091581345,0.05502798780798912,0.23027999699115753,0.013278395868837833,0.03062736988067627,2.3065547943115234
7,0.011400468647480011,0.048761751502752304,0.030434316024184227,0.16778147220611572,0.007349247578531504,0.0321241170167923,4.37106990814209
8,0.026517285034060478,0.03853017836809158,0.05193127691745758,0.22520561516284943,0.012741757556796074,0.019747130572795868,1.549795150756836
9,0.060764286667108536,0.06475325673818588,0.00791381485760212,0.07786240428686142,0.017335863783955574,0.03362249210476875,1.9394749402999878
10,0.01920267753303051,0.03827710822224617,0.04668493941426277,0.2105599045753479,0.008900254033505917,0.02894209511578083,3.251824140548706
