batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.04775435850024223,0.030058423057198524,0.0021503667812794447,0.038694530725479126,0.012656689621508121,0.01387351006269455,1.096139669418335,9,0.7857142857142857,-21,1.0,0.7391304347826086,0.8490435300264496
2,0.01565578021109104,0.02717595361173153,0.005970936268568039,0.07503370195627213,0.009371449239552021,0.009515446610748768,1.015364408493042,-21,1.0,-21,1.0,0.6956521739130435,0.7825161809997623
3,0.09594240039587021,0.0823950469493866,0.005253250245004892,0.06990616768598557,0.02290506474673748,0.02170291356742382,0.9475155472755432,-22,1.0,-21,0.9999999999999998,0.9130434782608695,0.9190085800323028
4,0.02979351580142975,0.0274355411529541,0.023428117856383324,0.14997322857379913,0.012067706324160099,0.01313143689185381,1.0881459712982178,21,1.0,21,1.0,0.8695652173913043,0.7628426165926623
5,0.10506639629602432,0.07296349853277206,0.013912851922214031,0.11294791847467422,0.03134068474173546,0.024421842768788338,0.7792373895645142,-22,1.0,0,0.9566481565002162,0.8695652173913043,0.9566481565002162
6,0.06350398808717728,0.05811900272965431,0.0005860134260728955,0.019805138930678368,0.01741439290344715,0.01507954765111208,0.8659239411354065,-22,1.0,0,0.9534824820105035,0.7391304347826086,0.9534824820105035
7,0.06213719770312309,0.03559108078479767,0.001749440561980009,0.03131048381328583,0.010601771995425224,0.009017868898808956,0.8505993485450745,-22,1.0,-16,0.6218919201204892,0.5652173913043478,0.35591040818888836
8,0.04809040576219559,0.035599131137132645,0.009736753068864346,0.09654433280229568,0.018821410834789276,0.015213624574244022,0.8083143830299377,17,0.8333333333333334,-21,1.0,0.7391304347826086,0.7890369528012651
9,0.09081218391656876,0.02421645261347294,0.026513611897826195,0.14651215076446533,0.03050301969051361,0.018046032637357712,0.5916144251823425,-21,1.0,-21,1.0,0.8260869565217391,0.794208454161108
10,0.014489284716546535,0.015935111790895462,0.00019744694873224944,0.011303004808723927,0.007512859534472227,0.007131356280297041,0.94921875,-20,1.0,-20,0.7263806492133915,0.6086956521739131,0.34813988562664105
