batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.035454899072647095,0.01217878982424736,0.012920580804347992,0.10896690934896469,0.013154055923223495,0.007915139198303223,0.6017256379127502
2,0.041080888360738754,0.027717342600226402,0.013608701527118683,0.11326327919960022,0.023873625323176384,0.01518263015896082,0.6359580755233765
3,0.03515516221523285,0.020407166332006454,0.0025157281197607517,0.045380849391222,0.011400177143514156,0.010096192359924316,0.8856163620948792
4,0.02156544290482998,0.016907930374145508,0.0014830768341198564,0.035739365965127945,0.014816304668784142,0.011556698009371758,0.7799981236457825
5,0.022420300170779228,0.010931934230029583,0.0016805060440674424,0.038096364587545395,0.013317657634615898,0.00996082741767168,0.7479408383369446
6,0.02529751881957054,0.013563993386924267,0.006289215292781591,0.07195604592561722,0.010438167490065098,0.007640952710062265,0.7320197820663452
7,0.052468594163656235,0.02288721688091755,0.007726589217782021,0.07946794480085373,0.02050982415676117,0.011738279834389687,0.5723244547843933
8,0.13776108622550964,0.12125883251428604,0.00543037848547101,0.06566151231527328,0.05177198722958565,0.03718651458621025,0.7182746529579163
9,0.014098328538239002,0.006103517021983862,0.014276479370892048,0.11875054985284805,0.0067144581116735935,0.005494299344718456,0.8182777166366577
10,0.023278189823031425,0.012155178934335709,0.0010982390958815813,0.02391849271953106,0.013370011001825333,0.009347070939838886,0.6991066336631775
