batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio
1,0.0440012626349926,0.030200408771634102,0.0010806499049067497,0.021783694624900818,0.022446954622864723,0.018320217728614807,0.816155731678009
2,0.054713182151317596,0.05958535522222519,0.0003269403241574764,0.015545378439128399,0.01369722280651331,0.01312215719372034,0.9580152034759521
3,0.06715042144060135,0.05544370785355568,0.0012719760416075587,0.030971601605415344,0.024213936179876328,0.01874149963259697,0.773996114730835
4,0.05918077379465103,0.031201697885990143,0.005330769810825586,0.06462527066469193,0.015725964680314064,0.01393997110426426,0.8864297270774841
5,0.04186980053782463,0.03535844013094902,0.0006034750258550048,0.0219686571508646,0.02289198338985443,0.01930013857781887,0.843095600605011
6,0.029494084417819977,0.02108539082109928,0.00026983776479028165,0.012412689626216888,0.013873929157853127,0.01135150995105505,0.8181893825531006
7,0.04958278313279152,0.023897524923086166,0.022255651652812958,0.14269331097602844,0.02284618653357029,0.015971867367625237,0.6991040110588074
8,0.05353143438696861,0.05324103683233261,0.0003307466395199299,0.01399103831499815,0.02117082290351391,0.01815948821604252,0.8577597737312317
9,0.024665433913469315,0.01921759359538555,0.0021025927271693945,0.04317207261919975,0.016681430861353874,0.01148994080722332,0.6887859106063843
10,0.0253586545586586,0.03026837296783924,0.00013029416732024401,0.00870560109615326,0.011014067567884922,0.010707336477935314,0.9721500873565674
