batch,true_std,pred_std,mse,mae,true_jaggedness,pred_jaggedness,jaggedness_ratio,ll_best_lag_by_hit,ll_best_hit_ratio,ll_best_lag_by_corr,ll_best_corr,ll_zero_lag_hit,ll_zero_lag_corr
1,0.04775435850024223,0.030466590076684952,0.002579285064712167,0.04398784413933754,0.012656689621508121,0.01402285136282444,1.1079390048980713,9,0.7857142857142857,-21,1.0,0.7391304347826086,0.8595218501810141
2,0.01565578021109104,0.02582951821386814,0.007152429316192865,0.08288067579269409,0.009371449239552021,0.00945283006876707,1.0086828470230103,-21,1.0,-21,1.0,0.6956521739130435,0.7958172687753207
3,0.09594240039587021,0.08195183426141739,0.00622360548004508,0.07646898180246353,0.02290506474673748,0.021165134385228157,0.9240369200706482,-22,1.0,-21,1.0,0.9130434782608695,0.9341221342938657
4,0.02979351580142975,0.02756757289171219,0.02563488483428955,0.15721257030963898,0.012067706324160099,0.012483705766499043,1.0344712734222412,21,1.0,21,1.0,0.9130434782608695,0.7725911943676488
5,0.10506639629602432,0.07406166940927505,0.015270736999809742,0.11901557445526123,0.03134068474173546,0.023973941802978516,0.7649460434913635,-22,1.0,0,0.9522307987660917,0.8260869565217391,0.9522307987660917
6,0.06350398808717728,0.056798744946718216,0.0006325286813080311,0.020997295156121254,0.01741439290344715,0.01349420566111803,0.7748876810073853,-22,1.0,0,0.9520953562976198,0.7391304347826086,0.9520953562976198
7,0.06213719770312309,0.03488463535904884,0.0015934825642034411,0.030379362404346466,0.010601771995425224,0.0090498561039567,0.85361647605896,-22,1.0,-16,0.658582969211717,0.6521739130434783,0.37275980908307915
8,0.04809040576219559,0.03639238700270653,0.010667991824448109,0.10153228044509888,0.018821410834789276,0.016464678570628166,0.8747840523719788,0,0.8260869565217391,-21,1.0,0.8260869565217391,0.8312770138966002
9,0.09081218391656876,0.024732572957873344,0.028387686237692833,0.15334321558475494,0.03050301969051361,0.01909906417131424,0.6261366605758667,-21,1.0,-21,1.0,0.8695652173913043,0.8225525368633554
10,0.014489284716546535,0.016221873462200165,0.0003502041508909315,0.016301795840263367,0.007512859534472227,0.007317268289625645,0.973964512348175,-20,1.0,-20,0.6798662876993264,0.6086956521739131,0.3700847466678792
